exp,lr,gamma,batch,eps_start,eps_end,eps_frac,mean_reward,std_reward,noted
1,0.0005,0.99,128,1.0,0.1,0.15,26.7,8.16,Reward improving across training.
2,0.0005,0.995,128,1.0,0.1,0.2,23.85,8.9,Reward improving across training.
3,0.0005,0.999,256,1.0,0.1,0.2,23.45,7.52,Reward flat — may need more timesteps.
4,0.0007,0.99,128,1.0,0.1,0.15,23.45,6.74,Reward declined — possible instability.
5,0.0007,0.995,256,1.0,0.1,0.2,23.25,6.68,Reward flat — may need more timesteps.
6,0.0007,0.999,256,1.0,0.15,0.25,23.7,7.41,Reward improving across training.
7,0.001,0.99,128,1.0,0.1,0.15,27.05,5.54,Reward improving across training.
8,0.001,0.995,256,1.0,0.15,0.25,27.8,7.51,Reward improving across training.
9,0.001,0.999,256,1.0,0.15,0.3,18.3,6.72,Reward declined — possible instability.
10,0.0007,0.999,128,1.0,0.1,0.25,21.3,8.2,Reward declined — possible instability.
