exp,lr,gamma,batch,eps_start,eps_end,eps_frac,mean_reward,std_reward,peak_reward,peak_timestep,noted
1,0.0001,0.97,32,1.0,0.05,0.1,26.65,10.24,29.7,400000,Reward improving across training.
2,0.0001,0.98,64,1.0,0.05,0.1,31.8,8.86,31.8,500000,Reward improving across training.
3,0.0001,0.99,64,1.0,0.05,0.12,19.65,5.6,22.45,400000,Reward improving across training.
4,0.0002,0.97,32,1.0,0.05,0.1,23.7,7.85,30.85,400000,Reward improving across training.
5,0.0002,0.98,64,1.0,0.05,0.12,23.7,11.98,27.9,200000,Reward improving across training.
6,0.0002,0.99,64,1.0,0.05,0.15,24.95,6.61,28.55,300000,Reward improving across training.
7,0.0003,0.97,32,1.0,0.05,0.1,21.4,12.01,27.25,450000,Reward improving across training.
8,0.0003,0.98,64,1.0,0.05,0.12,22.45,8.66,30.0,400000,Reward improving across training.
9,0.0003,0.99,32,1.0,0.02,0.12,29.6,7.31,33.6,450000,Reward improving across training.
10,0.0002,0.99,32,1.0,0.02,0.15,30.85,9.2,30.85,500000,Reward improving across training.
